Fecha,Cuentas que han realizado al menos un pago,Cuentas que han realizado al menos un cobro
16/09/2020,242983,206689
17/09/2020,243725,207307
18/09/2020,245797,209053
19/09/2020,N/E,N/E
20/09/2020,N/E,N/E
21/09/2020,246427,209539
22/09/2020,247116,210052
23/09/2020,247829,210624
24/09/2020,248560,211190
25/09/2020,250650,212957
26/09/2020,N/E,N/E
27/09/2020,N/E,N/E
28/09/2020,251352,213521
29/09/2020,252110,214118
30/09/2020,252956,214693
01/10/2020,253809,215268
02/10/2020,256226,217209
03/10/2020,N/E,N/E
04/10/2020,N/E,N/E
05/10/2020,256889,217727
06/10/2020,257612,218273
07/10/2020,258268,218762
08/10/2020,259070,219360
09/10/2020,261014,220907
10/10/2020,N/E,N/E
11/10/2020,N/E,N/E
12/10/2020,261644,221430
13/10/2020,262358,221975
14/10/2020,263195,222604
15/10/2020,264112,223256
16/10/2020,266296,224984
17/10/2020,N/E,N/E
18/10/2020,N/E,N/E
19/10/2020,266951,225490
20/10/2020,267614,225987
21/10/2020,268359,226494
22/10/2020,269103,227028
23/10/2020,271101,228577
24/10/2020,N/E,N/E
25/10/2020,N/E,N/E
26/10/2020,271753,229072
27/10/2020,272395,229552
28/10/2020,273172,230113
29/10/2020,273967,230718
30/10/2020,276248,232525
31/10/2020,N/E,N/E
01/11/2020,N/E,N/E
02/11/2020,276896,233089
03/11/2020,277568,233546
04/11/2020,278343,234136
05/11/2020,279407,235026
06/11/2020,281559,236798
07/11/2020,N/E,N/E
08/11/2020,N/E,N/E
09/11/2020,282185,237290
10/11/2020,282975,237908
11/11/2020,283778,238540
12/11/2020,284647,239169
13/11/2020,287446,241285
14/11/2020,N/E,N/E
15/11/2020,N/E,N/E
16/11/2020,288257,241913
17/11/2020,289129,242560
18/11/2020,289933,243135
19/11/2020,290865,243846
20/11/2020,293346,245734
21/11/2020,N/E,N/E
22/11/2020,N/E,N/E
23/11/2020,294190,246337
24/11/2020,294998,246948
25/11/2020,295802,247556
26/11/2020,296643,248125
27/11/2020,299566,250161
28/11/2020,N/E,N/E
29/11/2020,N/E,N/E
30/11/2020,300564,250779
01/12/2020,301857,251560
02/12/2020,303127,252477
03/12/2020,304532,253428
04/12/2020,309270,255438
05/12/2020,N/E,N/E
06/12/2020,N/E,N/E
07/12/2020,310418,256061
08/12/2020,311529,256850
09/12/2020,312573,257610
10/12/2020,313782,258383
11/12/2020,316867,260695
12/12/2020,N/E,N/E
13/12/2020,N/E,N/E
14/12/2020,318009,261587
15/12/2020,319506,262694
16/12/2020,320848,263689
17/12/2020,322102,264599
18/12/2020,325141,266870
19/12/2020,N/E,N/E
20/12/2020,N/E,N/E
21/12/2020,326269,267727
22/12/2020,327424,268713
23/12/2020,328655,269690
24/12/2020,329473,270344
25/12/2020,331046,271623
26/12/2020,N/E,N/E
27/12/2020,N/E,N/E
28/12/2020,331986,272311
29/12/2020,333085,273198
30/12/2020,334233,274078
31/12/2020,335190,274807
01/01/2021,337204,276324
02/01/2021,N/E,N/E
03/01/2021,N/E,N/E
04/01/2021,338072,276897
05/01/2021,339338,277881
06/01/2021,340485,278863
07/01/2021,341754,279992
