,fecha,cuentas_que_han_realizado_al_menos_un_pago,cuentas_que_han_realizado_al_menos_un_cobro
235,2020-09-21,246427.0,209539.0
236,2020-09-22,247116.0,210052.0
237,2020-09-23,247829.0,210624.0
238,2020-09-24,248560.0,211190.0
239,2020-09-25,250650.0,212957.0
240,2020-09-28,251352.0,213521.0
241,2020-09-29,252110.0,214118.0
242,2020-09-30,252956.0,214693.0
243,2020-10-01,253809.0,215268.0
244,2020-10-02,256226.0,217209.0
245,2020-10-05,256889.0,217727.0
246,2020-10-06,257612.0,218273.0
247,2020-10-07,258268.0,218762.0
248,2020-10-08,259070.0,219360.0
249,2020-10-09,261014.0,220907.0
250,2020-10-12,261644.0,221430.0
251,2020-10-13,262358.0,221975.0
252,2020-10-14,263195.0,222604.0
253,2020-10-15,264112.0,223256.0
254,2020-10-16,266296.0,224984.0
255,2020-10-19,266951.0,225490.0
256,2020-10-20,267614.0,225987.0
257,2020-10-21,268359.0,226494.0
258,2020-10-22,269103.0,227028.0
259,2020-10-23,271101.0,228577.0
260,2020-10-26,271753.0,229072.0
261,2020-10-27,272395.0,229552.0
262,2020-10-28,273172.0,230113.0
263,2020-10-29,273967.0,230718.0
264,2020-10-30,276248.0,232525.0
265,2020-11-02,276896.0,233089.0
266,2020-11-03,277568.0,233546.0
267,2020-11-04,278343.0,234136.0
268,2020-11-05,279407.0,235026.0
269,2020-11-06,281559.0,236798.0
270,2020-11-09,282185.0,237290.0
271,2020-11-10,282975.0,237908.0
272,2020-11-11,283778.0,238540.0
273,2020-11-12,284647.0,239169.0
274,2020-11-13,287446.0,241285.0
275,2020-11-16,288257.0,241913.0
276,2020-11-17,289129.0,242560.0
277,2020-11-18,289933.0,243135.0
278,2020-11-19,290865.0,243846.0
279,2020-11-20,293346.0,245734.0
280,2020-11-23,294190.0,246337.0
281,2020-11-24,294998.0,246948.0
282,2020-11-25,295802.0,247556.0
283,2020-11-26,296643.0,248125.0
284,2020-11-27,299566.0,250161.0
285,2020-11-30,300564.0,250779.0
286,2020-12-01,301857.0,251560.0
287,2020-12-02,303127.0,252477.0
288,2020-12-03,304532.0,253428.0
289,2020-12-04,309270.0,255438.0
290,2020-12-07,310418.0,256061.0
291,2020-12-08,311529.0,256850.0
292,2020-12-09,312573.0,257610.0
293,2020-12-10,313782.0,258383.0
294,2020-12-11,316867.0,260695.0
295,2020-12-14,318009.0,261587.0
296,2020-12-15,319506.0,262694.0
297,2020-12-16,320848.0,263689.0
298,2020-12-17,322102.0,264599.0
299,2020-12-18,325141.0,266870.0
300,2020-12-21,326269.0,267727.0
301,2020-12-22,327424.0,268713.0
302,2020-12-23,328655.0,269690.0
303,2020-12-24,329473.0,270344.0
304,2020-12-25,331046.0,271623.0
305,2020-12-28,331986.0,272311.0
306,2020-12-29,333085.0,273198.0
307,2020-12-30,334233.0,274078.0
308,2020-12-31,335190.0,274807.0
309,2021-01-01,337204.0,276324.0
310,2021-01-04,338072.0,276897.0
311,2021-01-05,339338.0,277881.0
312,2021-01-06,340485.0,278863.0
313,2021-01-07,341754.0,279992.0
314,2021-01-08,344320.0,282118.0
315,2021-01-11,345407.0,283077.0
316,2021-01-12,347094.0,284664.0
317,2021-01-13,349424.0,286835.0
318,2021-01-14,351757.0,289177.0
319,2021-01-15,357193.0,294111.0
320,2021-01-18,359286.0,296176.0
321,2021-01-19,362645.0,299787.0
322,2021-01-20,366346.0,304097.0
323,2021-01-21,369657.0,307879.0
324,2021-01-22,374627.0,313251.0
325,2021-01-25,377289.0,316361.0
326,2021-01-26,380781.0,320573.0
327,2021-01-27,383787.0,324200.0
328,2021-01-28,387241.0,328329.0
329,2021-01-29,391294.0,331444.0
330,2021-02-01,392048.0,331973.0
331,2021-02-02,393478.0,333374.0
332,2021-02-03,395525.0,335531.0
333,2021-02-04,397798.0,338180.0
334,2021-02-05,401462.0,341882.0
335,2021-02-08,403192.0,343870.0
336,2021-02-09,405080.0,346026.0
337,2021-02-10,407269.0,348495.0
338,2021-02-11,409680.0,351152.0
