,fecha,total_cuentas_validadas,ABC_capital,banco_actinver,banca_afirme,opciones_empresariales_del_Noreste,banco_autofin_méxico,banco_azteca,banco_del_bajío,banco_nacional_de_méxico,Banco_ahorro_Famsa,bancoppel,banco_bancrea,banco_nacional_del_ejército_fuerza_aérea_y_armada,bankaool,banco_mercantil_del_norte,banco_regional,banco_del_ahorro_nacional_y_servicios_financieros,bansi,banco_base,bbva_bancomer,banco_monex,cibanco,banco_compartamos,consubanco,fundación_dondé_banco,fincomún_servicios_financieros_comunitarios,hsbc_méxico,banco_inbursa,banco_inmobiliario_mexicano,intercam_banco,banco_invex,banca_mifel,banco_multiva,banco_pagatodo,banco_sabadell,banco_santander,scotiabank_inverlat,sistema_de_transferencias_y_pagos_stp,operadora_de_pagos_móviles_de_méxico,banco_ve_por_Mas
47,10/07/2020,30906,0,0,33,1,2,466,19,18586,0,908,0,0,1,146,137,0,0,0,9792,1,2,8,0,0,1,340,43,0,0,0,1,0,3,0,353,60,1,0,2
48,11/07/2020,24734,0,0,18,0,0,382,3,10280,0,958,0,0,0,99,117,0,0,0,12168,0,0,7,0,0,0,271,25,0,2,0,0,0,7,0,278,116,3,0,0
49,12/07/2020,17115,0,0,9,0,0,282,2,6359,0,850,0,0,0,81,75,0,0,0,8878,0,0,0,0,0,0,282,28,0,1,0,1,0,2,0,168,96,0,0,1
50,13/07/2020,31638,0,0,25,1,0,348,9,11603,0,1104,0,0,0,141,123,0,0,0,17759,1,0,4,0,0,0,134,34,0,0,0,1,0,4,0,294,49,3,0,1
51,14/07/2020,30271,0,0,52,1,1,399,11,10237,0,1026,0,0,2,137,114,0,0,0,17642,0,1,11,1,0,2,108,42,0,1,0,6,0,13,0,366,95,3,0,0
52,15/07/2020,29659,0,0,21,0,1,510,11,9184,0,1074,0,0,0,190,147,0,0,0,17817,0,2,7,0,0,0,280,47,0,2,0,4,0,10,0,293,55,4,0,0
53,16/07/2020,29549,0,0,46,0,1,457,14,9923,0,1015,0,0,0,169,133,0,0,1,16788,0,0,7,0,0,0,456,48,0,5,0,1,0,2,0,405,73,4,0,1
54,17/07/2020,30760,0,0,28,1,1,489,16,12861,0,989,0,0,0,184,132,0,0,0,15229,0,-1,4,0,0,0,313,52,0,1,0,1,0,3,0,439,14,4,0,0
55,18/07/2020,21967,0,0,26,0,0,355,10,9592,0,908,0,0,2,151,91,0,0,0,10021,0,0,2,0,0,0,267,32,0,0,0,3,0,2,0,360,142,2,0,1
56,19/07/2020,18390,0,0,12,0,1,352,3,8362,0,838,0,0,1,116,73,0,0,0,8007,0,0,4,0,0,0,240,22,0,1,0,0,0,1,0,242,110,5,0,0
57,20/07/2020,28432,0,0,36,2,1,417,13,10965,0,1113,0,0,0,252,111,0,0,0,14389,0,0,3,0,0,0,500,35,0,3,0,2,0,0,0,477,111,1,0,1
58,21/07/2020,26264,0,0,43,-1,2,450,4,9607,0,1012,0,0,0,183,116,0,0,1,13807,0,0,4,0,0,0,345,46,0,0,0,3,0,6,0,439,194,2,0,1
59,22/07/2020,25887,0,0,33,1,1,407,9,9268,0,954,0,0,0,510,116,0,0,0,13563,0,0,6,0,0,0,337,57,0,1,0,4,1,21,0,421,172,5,0,0
60,23/07/2020,26073,0,0,61,3,0,436,13,9098,0,936,0,0,-2,666,110,0,0,0,13724,0,1,6,0,0,0,377,47,0,2,0,2,0,42,0,373,175,3,0,0
61,24/07/2020,13938,0,0,55,2,-1,376,14,6686,0,832,1,0,0,550,100,0,0,0,4585,2,-1,5,0,0,1,211,39,0,0,0,2,0,25,0,354,101,-1,0,0
62,25/07/2020,15447,0,0,13,0,0,365,4,6045,0,933,0,0,0,125,90,0,0,0,7075,0,0,6,0,0,0,225,34,0,1,0,2,0,19,0,359,148,3,0,0
